rel_path,run_id,method,family,env,seed,policy_id,step,score,score_field,aggregate,episodes,evaluated_at,eval_file,eval_line
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,5000,38.93228827821239,mean_normalized,False,10,,eval.jsonl,2
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,5000,38.93228827821239,mean_normalized,False,10,,eval.jsonl,1
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,10000,27.886582045504657,mean_normalized,False,10,,eval.jsonl,4
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,10000,27.886582045504657,mean_normalized,False,10,,eval.jsonl,3
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,15000,24.396609296162588,mean_normalized,False,10,,eval.jsonl,6
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,15000,24.396609296162588,mean_normalized,False,10,,eval.jsonl,5
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,20000,27.127007407945268,mean_normalized,False,10,,eval.jsonl,8
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,20000,27.127007407945268,mean_normalized,False,10,,eval.jsonl,7
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,25000,33.8696968360038,mean_normalized,False,10,,eval.jsonl,10
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,25000,33.8696968360038,mean_normalized,False,10,,eval.jsonl,9
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,30000,49.74688444267978,mean_normalized,False,10,,eval.jsonl,12
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,30000,49.74688444267978,mean_normalized,False,10,,eval.jsonl,11
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,35000,37.26185981961926,mean_normalized,False,10,,eval.jsonl,14
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,35000,37.26185981961926,mean_normalized,False,10,,eval.jsonl,13
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,40000,46.49007913757096,mean_normalized,False,10,,eval.jsonl,16
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,40000,46.49007913757096,mean_normalized,False,10,,eval.jsonl,15
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,45000,45.297537716197205,mean_normalized,False,10,,eval.jsonl,18
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,45000,45.297537716197205,mean_normalized,False,10,,eval.jsonl,17
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,50000,53.658548319231194,mean_normalized,False,10,,eval.jsonl,20
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,50000,53.658548319231194,mean_normalized,False,10,,eval.jsonl,19
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,55000,55.04961208543999,mean_normalized,False,10,,eval.jsonl,22
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,55000,55.04961208543999,mean_normalized,False,10,,eval.jsonl,21
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,60000,56.31719254608423,mean_normalized,False,10,,eval.jsonl,24
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,60000,56.31719254608423,mean_normalized,False,10,,eval.jsonl,23
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,65000,55.89277137565394,mean_normalized,False,10,,eval.jsonl,26
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,65000,55.89277137565394,mean_normalized,False,10,,eval.jsonl,25
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,70000,55.5881663330504,mean_normalized,False,10,,eval.jsonl,28
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,70000,55.5881663330504,mean_normalized,False,10,,eval.jsonl,27
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,adaptive_beta,75000,47.64279256387008,mean_normalized,False,10,,eval.jsonl,30
ablation/iql_amo/halfcheetah-medium-expert-v2/1e-4/seed_0/hme_s0_iql_ab_loco4_b3_t0p7__643088a8,hme_s0_iql_ab_loco4_b3_t0p7__643088a8,iql_amo,adaptive_beta,halfcheetah-medium-expert-v2,0,fixed_beta,75000,47.64279256387008,mean_normalized,False,10,,eval.jsonl,29
